movie_name,count
,4777
oppam,13
Dunkirk,39
Muramba,39
nerve,16
live by night,13
assassins creed,1657
Raees,108
doddmane hudga,21
Ezra,80
Jindua,5
ameerpeta lo,2
Laali Ki Shaadi Mein Laaddoo Deewana,3
jalsa,1
Nenu Local,89
The Ghazi Attack,1671
moana,1492
byomkesh parbo,55
kabali,11
nirmala convent,61
Half Girlfriend,136
pittagoda,19
Winner,76
Pushpaka Vimana,1
arrival,564
Jagga Jassos,1
mohenjo daro,8
Arrival,4
billy lynns long halftime walk,10
chennai 600028 ii,87
A Dog'S Purpose,61
1971 Beyond Borders,6
jack reacher,132
The Great Father,38
the the magnificent seven,6
Finding Dory,5
Irada,32
Sargi,2
Sakhavu,14
Chips,3
nikka zaildar,16
ek tera saath,1
dana kayonu,4
queen,1
kattappanayile ritwik roshan,123
anna,9
The Founder,3
suicide squad,21
gautamiputra satakarni,327
pili bail yamunakka,6
family katta,2
shankara,10
Singam 3,157
Shentimental,2
Cia - Comrade In America,18
kadavul irukkaan kumaru,11
THE JUNGLE BOOK,1
Pirates Of Caribbean: Salazar'S Revenge,179
C/O Saira Banu,22
kochauvva paulo ayyappa coelho,3
pink,809
teenanko,1
Eradanesala,2
16 - Every Detail Counts,11
naanna nenu naa boy friends,352
Yaakkai,1
Posto,14
The Boss Baby,495
Urvi,2
ti saddhya kaay karte,5
Baby Driver,1
Sarkar 3,36
sathamaanam bhavati,2
Tubelight,47
bridget jones`s baby,3
wolves at the door,9
grand hali,2
thodari,10
nenu local,386
fukri,10
madaari,4
Adventures Of Omanakuttan,1
fantastic beasts and where to find,14
La La Land,30
office christmas party,40
wajah tum ho,765
beautiful manasugalu,6
Commando 2,341
Fugay,46
nagarahavu,6
banjo,77
janatha garage,185
sundaranga jana,17
befikre,4171
within,6
m s dhoni the untold story,6
ice age colison course,1
Ramante Edanthottam,2
,141
khaidi no 150,52
mr. church,4
byomkesh o chiriakhana,6
Pa. Paandi,8
Mona Darling,5
dharmayogi the leader,17
meelo evaru koteswarudu,64
raees,2794
Logan,1487
yz,3
ore mugham,9
kotigobba -2,7
The Sense Of An Ending,1
Rabb Da Radio,7
Puthan Panam,4
jaundya na balasaheb,92
final cut of director,3
Anaarkali Of Aarah,8
Ghost In The Shell,31
achamindri,7
inferno,552
Om Namo Venkatesaya,106
Vitamin She,1
AWAKE : THE LIFE OF YOGANANDA,1
Kadugu,6
mukunda murari,23
Love Icon,1
friend request,6
Sairat,2
pulimurugan,65
Begum Jaan,113
kookh,2
Chakravarthy,2
underworld 5 blood wars,4
mission mummy,5
Trapped,200
Te3n,1
lock,2
Fu: Friendship Unlimited,7
pete s dragon,1
resident evil 6 : the final chapter 3d,1
Nagaram,1
light out,3
mandyadha hudugru,3
Fashion Designer S/O Ladies Tailor,1
train to busan,43
commitment,2
The Conjuring 2,5
jayammu nischayammu ra..,21
Kuttram 23,28
saahasam swaasaga saagipo,319
Baahubali 2: The Conclusion,1300
premam,1124
Take Off,66
bairavaa,55
rustom,17
aandavan kattalai,5
rekka,3
Kanika,18
the founder,26
teshan,1
Deepwater Horizon,3
Shivya,1
resident evil 6 : the final chapter,212
Tujha Tu Majha Mi,7
Mirza Juuliet,2
the bongs again,4
thikka,1
Noorondu Nenapu,1
college bus,1
half ticket,1
lavari,5
queen of katwe,7
The Salesman (Farsi With Eng Subtitle),2
Now You See Me 2,3
Despicable Me 3,21
Meghnad Badh Rahasya,1
Kattappava Kanom,1
Aaradugula Bullet,1
shatamanam bhavatie,2
kaththi sandal,1
Power Rangers,16
Fast And Furious 8,361
fantastic beasts and where to find them,3257
tutak tutak tutiya,44
oozham,5
kaik karne yaar,4
Ranjan,1
nagpur adhivation ek sahal,1
Godha,10
Eleyaru Naavu Geleyaru,1
Metro,1
Dora,13
beiimaan love,5
Meri Pyaari Bindu,30
Silence,4
jayammu nischayammu ra...,21
Saab Bahadar,3
Ayal Jeevichirippundu,1
Gunturodu,17
Baywatch,24
Shatamanam Bhavati,11
storks,50
sully,181
kaashmora,279
Kaabil,198
underworld : blood wars,7
shatamanam bhavati,250
bogan,12
intlo deyyam nakem bhayam,295
miss peregrine's home for peculiar children,44
Maa Abbayi,1
kavi udeshichathu?,6
Hebbuli,53
vazandar,155
manyam puli,167
veera shivaji,1
Durga Sohay,2
bibaho diaries,6
Lion,262
thoppil joppan,6
jakkanna,1
madha matthu manasi,1
deepwater horizon,188
billy lynns long half time walk,7
kaththi sandai,7
kung fu yoga,76
Indu Sarkar,4
War For The Planet Of The Apes,21
independence day,1
ok jaanu,967
Nagarsevak Ek Nayak,2
kavalai vendam,22
ghantaa,3
danger zone,1
Resident Evil 6 : The Final Chapter,54
shivaay,1192
inkokadu,2
ekkadiki pothavu chinnavada,1041
Guest Iin London,1
nenostha,3
Sangili Bungili Kadhava Thorae,4
Jolly Llb 2,3726
m.s. dhoni: the untold story,2420
mirzya,107
mana oori ramayanam,8
nandini nursing home,11
mungaru male 2,25
Munna Michael,8
Wedding Anniversary,3
Going In Style,4
Munthirivallikal Thalirkkumbol,9
Mukti Bhawan,6
chaar sahibzaade - rise of bandasingh,1
Warcraft,3
sing,177
Kanavu Variyam,1
dharmayogi,39
the bye bye man,4
zulfiqar,6
one way ticket,2
jaguar,86
allied,51
hacksaw ridge,99
rangam 2,2
xxx return of xander cage 3d,1
Radha,4
Dhanak,2
Aa Gaya Hero,1
Hidden Figures,28
Moonlight,6
tiger,3
raaz reboot,86
pelli chupulu,1
Sivalinga,6
Enthavaraku Ee Prema,1
Colossal,4
Poorna,39
a dil hai mushkil,3
baar baar dekho,185
Maatr,4
dangal,18129
pelli choopulu,28
pete's dragon,2
Lipstick Under My Burkha,38
Shuddhi,6
Life,153
baghtos kay mujra kar,177
Thondan,1
The Lego Batman Movie,131
dear zindagi,5366
shubh aarambh,7
rock on 2,593
resident evil 6 : the final chapter3d,9
RAMAN RAGHAV 2.0,2
Manje Bistre,10
Lanka,2
irumugan,16
underworld: blood wars,528
dishoom,9
ventilator,618
masterminds,14
Rangoon,389
Jab Harry Met Sejal,39
shrikanta,1
Noor,22
Keshava,9
Lens,2
nagabharanam,31
Ninnu Kori,1
Dhyanimani,9
munthirivallikal thalirkkumbol,41
msg the warrior lion heart,11
Chi Va Chi Sau Ka,67
Maasthi Gudi,2
jayammi nischayammu ra..,32
xxx return of xander cage,1350
prem sankat,1
Baahubali - The Beginning,81
hyper,307
dongri ka raja,7
A Death In The Gunj,3
collateral beauty,245
Housefull 3,1
Valerian And The City Of A Thousand Planets,1
Naam Shabana,931
Rings,115
Kung Fu Yoga,8
JUNOONIYAT,1
the crew,29
Mister,6
la la land,672
sarvann,6
kiriti o kalobhromor,1
moh maya money,5
okkadochadu,31
john jani janardhan,6
passport,66
Aby,23
Andhhagadu,5
pilla rakshasi,2
Kadamban,6
Khaidi No.150,1
gujju rocks,1
shut in,18
khaidi no.150,445
Hanuman Da Damdaar,3
31st october,9
babu bangaram,2
kaabil,2387
antarleen,2
Guru,92
saptagiri express,163
Badrinath Ki Dulhania,1324
Honey Bee 2: Celebrations,15
Dhantya Open,2
Machine,10
kiriti roy,11
eedu goldu yehe,3
balam,1
Pulimurugan,1
jack reacher: never go back,89
Kirik Party,12
Manasu Malligey,1
miss peregrine s home peculiar children,1
Jeena Isi Ka Naam Hai,2
thammar boyfriend,5
photo copy,2
tharle village,6
Cheliyaa,21
Running Shaadi,49
devi,5
akira,68
Cars 3,32
Wonder Woman,141
sathamaanam bhavathi,73
Dwaraka,25
chapekar brothers,1
Angamaly Diaries,41
veera sivaji,12
ore mukham,4
Mom,39
superstar,3
